station_id,station_name,latitude,longitude
3788,E 12 St & 4 Av,40.73269,-73.98974
252,MacDougal St & Washington Sq,40.73226398,-73.99852205
3740,W Broadway & W Houston St,40.726378,-74.000472
432,E 7 St & Avenue A,40.72621788,-73.98379855
448,W 37 St & 10 Ave,40.75660359,-73.9979009
3055,Greene Ave & Nostrand Ave,40.6883337,-73.950916
3375,3 Ave & E 72 St,40.7699426,-73.96060712
3783,Cliff St & Fulton St,40.70838,-74.00495
3510,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373
458,11 Ave & W 27 St,40.751396,-74.005226
3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842
3408,Congress St & Clinton St,40.6881529,-73.99520919
359,E 47 St & Park Ave,40.75510267,-73.97498696
3680,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766
515,W 43 St & 10 Ave,40.76009437,-73.99461843
531,Forsyth St & Broome St,40.71893904,-73.99266288
3812,University Pl & E 14 St,40.734814,-73.992085
3146,E 81 St & 3 Ave,40.77573034,-73.9567526
119,Park Ave & St Edwards St,40.69608941,-73.97803415
3409,Bergen St & Smith St,40.6867443,-73.99063168
251,Mott St & Prince St,40.72317958,-73.99480012
3350,W 100 St & Broadway,40.7973721,-73.97041192
146,Hudson St & Reade St,40.71625008,-74.0091059
3422,Columbia St & Degraw St,40.6859296,-74.00242364
3795,10 St & 2 Ave,40.671907,-73.993612
3348,Coffey St & Conover St,40.677236,-74.015665
3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
3467,W Broadway & Spring St,40.72494672359416,-74.00165855884552
3603,31 Ave & 30 St,40.7647,-73.9240312
3810,Central Park West & W 82 St,40.782593,-73.971211
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635
3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276
545,E 23 St & 1 Ave,40.736502,-73.97809472
3298,Warren St & Court St,40.686371,-73.99383324
3343,W 107 St & Columbus Ave,40.7997568,-73.9621128676
2006,Central Park S & 6 Ave,40.76590936,-73.97634151
377,6 Ave & Canal St,40.72243797,-74.00566443
426,West St & Chambers St,40.71754834,-74.01322069
3576,Park Pl & Vanderbilt Ave,40.6767,-73.969024
310,State St & Smith St,40.68926942,-73.98912867
3410,Dean St & Hoyt St,40.6864442,-73.98759104
3396,Clinton St & 4 Place,40.6783563,-74.00014502
3437,Riverside Dr & W 91 St,40.79313480986663,-73.97700369358063
3382,Carroll St & Smith St,40.680611,-73.99475825
446,W 24 St & 7 Ave,40.74487634,-73.99529885
237,E 11 St & 2 Ave,40.73047309,-73.98672378
